"Date","Open","High","Low","Close","Volume","Adj.Close","Symbol"
1,41.18,41.310001,40.369999,40.560001,1529200,40.359322,"A"
2,40.32,40.459999,39.700001,39.799999,2041800,39.60308,"A"
3,39.810001,40.02,39.02,39.18,2080600,38.986149,"A"
4,39.52,39.810001,39.290001,39.700001,3359700,39.503576,"A"
5,40.240002,40.98,40.18,40.889999,2116300,40.687687,"A"
6,41,41,40.290001,40.59,1643900,40.389172,"A"
7,40.610001,40.720001,39.950001,40.110001,2770800,39.911547,"A"
8,40.470001,40.700001,39.330002,39.549999,2013100,39.354317,"A"
9,39.029999,39.099998,38.209999,39.060001,5134000,38.866743,"A"
10,39.060001,39.41,37.990002,38.009998,2628900,37.821935,"A"
11,37.830002,38.459999,37.759998,38.25,3004000,38.06075,"A"
12,38.43,38.66,37.759998,37.93,5033600,37.742333,"A"
13,37.75,38.41,37.68,38.16,2721600,37.971195,"A"
14,38.509998,39.860001,38.119999,39.650002,4856600,39.453824,"A"
15,39.599998,39.599998,38.759998,38.810001,1519300,38.61798,"A"
16,38.790001,39.169998,38.470001,39.150002,1510900,38.956298,"A"
17,38.700001,39.25,38.580002,38.75,1703500,38.558276,"A"
18,39.009998,39.049999,37.959999,38,2033500,37.811987,"A"
19,38,38.470001,37.689999,38.459999,2330000,38.26971,"A"
20,38.009998,38.32,37.709999,37.77,3054300,37.583125,"A"
21,37.900002,38.759998,37.709999,38.689999,2508500,38.498571,"A"
22,39.040001,39.630001,38.919998,39.619999,2950400,39.42397,"A"
23,39.330002,39.459999,38.82,39.110001,2567400,38.916495,"A"
24,39.220001,39.82,39.220001,39.529999,1826300,39.334415,"A"
25,39.540001,39.810001,39.23,39.34,2685900,39.145357,"A"
26,39.23,39.43,38.950001,39.040001,3586100,38.846842,"A"
27,39.310001,39.759998,38.779999,39.669998,1408600,39.473722,"A"
28,39.639999,39.810001,39.23,39.330002,3336800,39.135408,"A"
29,39.580002,40.060001,39.529999,40.02,1317700,39.821993,"A"
30,39.970001,40.310001,39.91,40.150002,2211900,39.95135,"A"
31,40.009998,40.529999,39.759998,40.52,2875800,40.319519,"A"
32,41.119999,42.200001,40.91,41.540001,9007200,41.334473,"A"
33,41.400002,41.57,41.040001,41.150002,3737300,40.946403,"A"
34,41.09,42.110001,40.880001,41.950001,2971900,41.742444,"A"
35,41.889999,41.959999,41.490002,41.73,1967900,41.523531,"A"
36,41.619999,42.110001,41.599998,42.060001,1922100,41.8519,"A"
37,42.34,42.490002,42.09,42.200001,2343500,41.991207,"A"
38,42.23,42.380001,42,42.360001,1505300,42.150415,"A"
39,42.299999,42.360001,42.049999,42.209999,1676400,42.001156,"A"
40,42.34,42.740002,42.34,42.700001,1847100,42.488733,"A"
41,42.450001,42.57,42.139999,42.259998,1635400,42.050908,"A"
42,41.950001,42.16,41.73,42,1306000,41.792196,"A"
43,41.990002,42.240002,41.84,42.220001,1376500,42.011108,"A"
44,41.950001,42.049999,41.490002,41.529999,1528600,41.32452,"A"
45,41.540001,41.889999,41.439999,41.740002,1492400,41.533484,"A"
