"Close","Date","Symbol"
210,1,"A"
245,2,"A"
437,3,"A"
365,4,"A"
287,5,"A"
550,6,"A"
624,7,"A"
569,8,"A"
594,9,"A"
525,10,"A"
481,11,"A"
671,12,"A"
736,13,"A"
849,14,"A"
770,15,"A"
854,16,"A"
1000,17,"A"
974,18,"A"
849,19,"A"
793,20,"A"
881,21,"A"
1000,22,"A"
761,23,"A"
932,24,"A"
953,25,"A"
935,26,"A"
951,27,"A"
840,28,"A"
844,29,"A"
874,30,"A"
835,31,"A"
296,32,"A"
472,33,"A"
293,34,"A"
152,35,"A"
192,36,"A"
74,37,"A"
0,38,"A"
175,39,"A"
118,40,"A"
222,41,"A"
245,42,"A"
391,43,"A"
525,44,"A"
527,45,"A"
476,46,"A"
425,47,"A"
381,48,"A"
469,49,"A"
543,50,"A"
472,51,"A"
365,52,"A"
238,53,"A"
400,54,"A"
157,55,"A"
64,56,"A"
37,57,"A"
196,58,"A"
259,59,"A"
231,60,"A"
228,1,"AAL"
152,2,"AAL"
406,3,"AAL"
432,4,"AAL"
508,5,"AAL"
501,6,"AAL"
503,7,"AAL"
418,8,"AAL"
391,9,"AAL"
306,10,"AAL"
382,11,"AAL"
346,12,"AAL"
337,13,"AAL"
434,14,"AAL"
486,15,"AAL"
391,16,"AAL"
463,17,"AAL"
477,18,"AAL"
332,19,"AAL"
304,20,"AAL"
299,21,"AAL"
261,22,"AAL"
230,23,"AAL"
254,24,"AAL"
365,25,"AAL"
496,26,"AAL"
410,27,"AAL"
342,28,"AAL"
296,29,"AAL"
389,30,"AAL"
230,31,"AAL"
351,32,"AAL"
294,33,"AAL"
73,34,"AAL"
83,35,"AAL"
130,36,"AAL"
0,37,"AAL"
57,38,"AAL"
92,39,"AAL"
97,40,"AAL"
140,41,"AAL"
209,42,"AAL"
244,43,"AAL"
368,44,"AAL"
427,45,"AAL"
451,46,"AAL"
501,47,"AAL"
589,48,"AAL"
686,49,"AAL"
767,50,"AAL"
703,51,"AAL"
776,52,"AAL"
893,53,"AAL"
1000,54,"AAL"
945,55,"AAL"
912,56,"AAL"
850,57,"AAL"
828,58,"AAL"
862,59,"AAL"
938,60,"AAL"
67,1,"AAP"
67,2,"AAP"
170,3,"AAP"
147,4,"AAP"
37,5,"AAP"
57,6,"AAP"
0,7,"AAP"
48,8,"AAP"
75,9,"AAP"
172,10,"AAP"
146,11,"AAP"
152,12,"AAP"
182,13,"AAP"
213,14,"AAP"
274,15,"AAP"
298,16,"AAP"
320,17,"AAP"
383,18,"AAP"
258,19,"AAP"
162,20,"AAP"
161,21,"AAP"
174,22,"AAP"
43,23,"AAP"
138,24,"AAP"
104,25,"AAP"
494,26,"AAP"
655,27,"AAP"
608,28,"AAP"
628,29,"AAP"
662,30,"AAP"
650,31,"AAP"
664,32,"AAP"
822,33,"AAP"
710,34,"AAP"
670,35,"AAP"
684,36,"AAP"
606,37,"AAP"
494,38,"AAP"
508,39,"AAP"
420,40,"AAP"
423,41,"AAP"
483,42,"AAP"
476,43,"AAP"
405,44,"AAP"
409,45,"AAP"
466,46,"AAP"
529,47,"AAP"
514,48,"AAP"
643,49,"AAP"
542,50,"AAP"
717,51,"AAP"
820,52,"AAP"
763,53,"AAP"
776,54,"AAP"
759,55,"AAP"
739,56,"AAP"
805,57,"AAP"
903,58,"AAP"
907,59,"AAP"
1000,60,"AAP"
1000,1,"AAPL"
946,2,"AAPL"
829,3,"AAPL"
805,4,"AAPL"
816,5,"AAPL"
752,6,"AAPL"
802,7,"AAPL"
777,8,"AAPL"
633,9,"AAPL"
510,10,"AAPL"
667,11,"AAPL"
640,12,"AAPL"
619,13,"AAPL"
656,14,"AAPL"
728,15,"AAPL"
236,16,"AAPL"
153,17,"AAPL"
230,18,"AAPL"
296,19,"AAPL"
285,20,"AAPL"
274,21,"AAPL"
260,22,"AAPL"
172,23,"AAPL"
292,24,"AAPL"
289,25,"AAPL"
373,26,"AAPL"
425,27,"AAPL"
464,28,"AAPL"
370,29,"AAPL"
364,30,"AAPL"
360,31,"AAPL"
310,32,"AAPL"
309,33,"AAPL"
223,34,"AAPL"
201,35,"AAPL"
238,36,"AAPL"
176,37,"AAPL"
224,38,"AAPL"
190,39,"AAPL"
165,40,"AAPL"
80,41,"AAPL"
0,42,"AAPL"
85,43,"AAPL"
43,44,"AAPL"
81,45,"AAPL"
90,46,"AAPL"
138,47,"AAPL"
64,48,"AAPL"
64,49,"AAPL"
96,50,"AAPL"
183,51,"AAPL"
276,52,"AAPL"
267,53,"AAPL"
248,54,"AAPL"
253,55,"AAPL"
324,56,"AAPL"
337,57,"AAPL"
318,58,"AAPL"
248,59,"AAPL"
175,60,"AAPL"
199,1,"ABBV"
158,2,"ABBV"
96,3,"ABBV"
106,4,"ABBV"
0,5,"ABBV"
26,6,"ABBV"
41,7,"ABBV"
19,8,"ABBV"
53,9,"ABBV"
125,10,"ABBV"
258,11,"ABBV"
383,12,"ABBV"
510,13,"ABBV"
383,14,"ABBV"
578,15,"ABBV"
530,16,"ABBV"
550,17,"ABBV"
449,18,"ABBV"
509,19,"ABBV"
455,20,"ABBV"
421,21,"ABBV"
490,22,"ABBV"
504,23,"ABBV"
493,24,"ABBV"
485,25,"ABBV"
383,26,"ABBV"
359,27,"ABBV"
302,28,"ABBV"
241,29,"ABBV"
220,30,"ABBV"
404,31,"ABBV"
547,32,"ABBV"
633,33,"ABBV"
693,34,"ABBV"
717,35,"ABBV"
671,36,"ABBV"
517,37,"ABBV"
478,38,"ABBV"
427,39,"ABBV"
454,40,"ABBV"
579,41,"ABBV"
640,42,"ABBV"
537,43,"ABBV"
570,44,"ABBV"
534,45,"ABBV"
513,46,"ABBV"
560,47,"ABBV"
489,48,"ABBV"
489,49,"ABBV"
544,50,"ABBV"
677,51,"ABBV"
629,52,"ABBV"
657,53,"ABBV"
756,54,"ABBV"
676,55,"ABBV"
743,56,"ABBV"
793,57,"ABBV"
919,58,"ABBV"
910,59,"ABBV"
1000,60,"ABBV"
11,1,"ABC"
0,2,"ABC"
36,3,"ABC"
53,4,"ABC"
45,5,"ABC"
45,6,"ABC"
60,7,"ABC"
54,8,"ABC"
110,9,"ABC"
207,10,"ABC"
201,11,"ABC"
263,12,"ABC"
304,13,"ABC"
275,14,"ABC"
345,15,"ABC"
288,16,"ABC"
202,17,"ABC"
212,18,"ABC"
265,19,"ABC"
270,20,"ABC"
244,21,"ABC"
388,22,"ABC"
327,23,"ABC"
357,24,"ABC"
381,25,"ABC"
372,26,"ABC"
433,27,"ABC"
417,28,"ABC"
442,29,"ABC"
402,30,"ABC"
418,31,"ABC"
397,32,"ABC"
474,33,"ABC"
398,34,"ABC"
382,35,"ABC"
440,36,"ABC"
345,37,"ABC"
393,38,"ABC"
450,39,"ABC"
472,40,"ABC"
568,41,"ABC"
602,42,"ABC"
604,43,"ABC"
631,44,"ABC"
581,45,"ABC"
631,46,"ABC"
639,47,"ABC"
652,48,"ABC"
678,49,"ABC"
731,50,"ABC"
681,51,"ABC"
608,52,"ABC"
827,53,"ABC"
849,54,"ABC"
793,55,"ABC"
797,56,"ABC"
893,57,"ABC"
909,58,"ABC"
908,59,"ABC"
1000,60,"ABC"
229,1,"ABMD"
193,2,"ABMD"
187,3,"ABMD"
163,4,"ABMD"
157,5,"ABMD"
101,6,"ABMD"
95,7,"ABMD"
12,8,"ABMD"
22,9,"ABMD"
0,10,"ABMD"
42,11,"ABMD"
102,12,"ABMD"
45,13,"ABMD"
54,14,"ABMD"
74,15,"ABMD"
134,16,"ABMD"
154,17,"ABMD"
216,18,"ABMD"
246,19,"ABMD"
191,20,"ABMD"
268,21,"ABMD"
271,22,"ABMD"
265,23,"ABMD"
338,24,"ABMD"
206,25,"ABMD"
244,26,"ABMD"
240,27,"ABMD"
276,28,"ABMD"
282,29,"ABMD"
383,30,"ABMD"
383,31,"ABMD"
376,32,"ABMD"
335,33,"ABMD"
294,34,"ABMD"
327,35,"ABMD"
385,36,"ABMD"
436,37,"ABMD"
438,38,"ABMD"
632,39,"ABMD"
584,40,"ABMD"
577,41,"ABMD"
558,42,"ABMD"
635,43,"ABMD"
599,44,"ABMD"
690,45,"ABMD"
719,46,"ABMD"
800,47,"ABMD"
821,48,"ABMD"
787,49,"ABMD"
885,50,"ABMD"
803,51,"ABMD"
815,52,"ABMD"
817,53,"ABMD"
793,54,"ABMD"
791,55,"ABMD"
821,56,"ABMD"
871,57,"ABMD"
932,58,"ABMD"
1000,59,"ABMD"
981,60,"ABMD"
0,1,"ABT"
373,2,"ABT"
311,3,"ABT"
394,4,"ABT"
397,5,"ABT"
464,6,"ABT"
550,7,"ABT"
403,8,"ABT"
400,9,"ABT"
296,10,"ABT"
198,11,"ABT"
223,12,"ABT"
211,13,"ABT"
259,14,"ABT"
232,15,"ABT"
229,16,"ABT"
226,17,"ABT"
290,18,"ABT"
391,19,"ABT"
357,20,"ABT"
559,21,"ABT"
556,22,"ABT"
443,23,"ABT"
547,24,"ABT"
626,25,"ABT"
715,26,"ABT"
721,27,"ABT"
675,28,"ABT"
688,29,"ABT"
737,30,"ABT"
810,31,"ABT"
926,32,"ABT"
847,33,"ABT"
755,34,"ABT"
675,35,"ABT"
764,36,"ABT"
678,37,"ABT"
614,38,"ABT"
675,39,"ABT"
532,40,"ABT"
474,41,"ABT"
691,42,"ABT"
801,43,"ABT"
678,44,"ABT"
727,45,"ABT"
804,46,"ABT"
880,47,"ABT"
896,48,"ABT"
905,49,"ABT"
944,50,"ABT"
639,51,"ABT"
431,52,"ABT"
455,53,"ABT"
538,54,"ABT"
437,55,"ABT"
501,56,"ABT"
535,57,"ABT"
703,58,"ABT"
782,59,"ABT"
1000,60,"ABT"
26,1,"ACN"
0,2,"ACN"
39,3,"ACN"
8,4,"ACN"
50,5,"ACN"
101,6,"ACN"
37,7,"ACN"
